equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,115,tanks,103,12,89
ITA_M14/41,M14/41,tanks,26,tanks,24,2,92
ITA_L3/35,L3/35,tanks,18,tanks,16,2,88
ITA_L6/40,L6/40,tanks,6,tanks,5,1,83
ITA_AB_40,AB 40,armored_cars,18,armored_cars,16,2,88
ITA_AB_41,AB 41,armored_cars,14,armored_cars,13,1,92
ITA_FIAT_634N,Fiat 634N,trucks,245,trucks,245,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,186,trucks,186,0,100
ITA_FIAT_626,Fiat 626,trucks,98,trucks,98,0,100
ITA_ALFA_ROMEO_430,Alfa Romeo 430,trucks,52,trucks,52,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,485,motorcycles,485,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi Trialce,motorcycles,342,motorcycles,342,0,100
ITA_GILERA_LTE,Gilera LTE,motorcycles,146,motorcycles,146,0,100
