equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,55,tanks,35,20,63
ITA_M14/41,M14/41,tanks,55,tanks,45,10,81
ITA_L6/40,L6/40,tanks,23,tanks,15,8,65
ITA_AB_41,AB 41,armored_cars,28,armored_cars,20,8,71
ITA_FIAT_626,Fiat 626,trucks,450,trucks,450,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,380,trucks,380,0,100
ITA_FIAT_634,Fiat 634,trucks,220,trucks,220,0,100
ITA_VARIOUS_LIGHT_TRUCKS,Various Light Trucks,trucks,150,trucks,150,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,95,motorcycles,95,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,85,motorcycles,85,0,100
ITA_75/27_MOD._1912,75/27 Mod. 1912,field_artillery,24,field_artillery,24,0,100
ITA_105/28_MOD._1913,105/28 Mod. 1913,field_artillery,8,field_artillery,8,0,100
ITA_75/18_MOD._1934_(SELF_PROPELLED_ON_M13/40_CHASSIS),75/18 Mod. 1934 (Self-Propelled on M13/40 chassis),field_artillery,16,field_artillery,16,0,100
ITA_47/32_MOD._1935,47/32 Mod. 1935,anti_tank,24,anti_tank,24,0,100
ITA_47/32_SELF_PROPELLED_(ON_L6/40_CHASSIS),47/32 Self-Propelled (on L6/40 chassis),anti_tank,4,anti_tank,4,0,100
ITA_90/53_MOD._1939,90/53 Mod. 1939,anti_aircraft,8,anti_aircraft,8,0,100
ITA_20MM_BREDA_M35,20mm Breda M35,anti_aircraft,20,anti_aircraft,20,0,100
